"name","nTracks","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence",
"Emmsjé Gauti"," 4"," 0.8185"," 0.62525"," 0.231"," 0.07445"," 2.65e-07"," 0.110375"," 0.46625"," "
"Enrico Nigiotti"," 2"," 0.4075"," 0.6915"," 0.0641"," 0.203"," 2.56e-06"," 0.182"," 0.3105"," "
"Enrique Iglesias"," 1"," 0.684"," 0.823"," 0.0773"," 0.0744"," 0.0"," 0.111"," 0.647"," "
"Equalz"," 2"," 0.7985"," 0.7170000000000001"," 0.17265"," 0.325"," 2.73e-05"," 0.09295"," 0.821"," "
"Eric Chou"," 1"," 0.439"," 0.477"," 0.0307"," 0.643"," 0.0"," 0.114"," 0.535"," "
"Ermal Meta"," 1"," 0.531"," 0.909"," 0.048"," 0.0187"," 0.0"," 0.273"," 0.608"," "
"Ersay �?ner"," 1"," 0.653"," 0.468"," 0.0486"," 0.489"," 0.0"," 0.21"," 0.688"," "
"Evelina"," 3"," 0.637"," 0.7953333333333333"," 0.11896666666666667"," 0.26866666666666666"," 3.1033333333333334e-06"," 0.25566666666666665"," 0.5746666666666668"," "
"Ewert and the Two Dragons"," 1"," 0.648"," 0.727"," 0.0555"," 0.0203"," 0.000978"," 0.11"," 0.714"," "
"Exiled"," 1"," 0.494"," 0.693"," 0.0523"," 0.0129"," 0.000336"," 0.965"," 0.461"," "
"EXO"," 2"," 0.7525"," 0.8514999999999999"," 0.05235"," 0.035"," 3.6599999999999995e-05"," 0.06745000000000001"," 0.7025"," "
"Eyjólfur Kristjánsson"," 1"," 0.605"," 0.615"," 0.0351"," 0.371"," 2.34e-06"," 0.121"," 0.439"," "
"Eypio"," 1"," 0.761"," 0.431"," 0.0969"," 0.374"," 0.00309"," 0.112"," 0.327"," "
"Ezhel"," 5"," 0.82"," 0.5562"," 0.3544"," 0.43899999999999995"," 6.18e-05"," 0.18636000000000003"," 0.3948"," "
"F1rstman"," 1"," 0.785"," 0.666"," 0.0468"," 0.309"," 0.0"," 0.338"," 0.76"," "
"Fabio Rovazzi"," 2"," 0.7285"," 0.8180000000000001"," 0.0501"," 0.014114999999999999"," 1.825e-06"," 0.1938"," 0.4745"," "
"Fabri Fibra"," 1"," 0.658"," 0.763"," 0.155"," 0.00722"," 0.0"," 0.118"," 0.444"," "
"Fabrizio Moro"," 1"," 0.529"," 0.484"," 0.0308"," 0.133"," 0.0"," 0.104"," 0.281"," "
"Famke Louise"," 2"," 0.7625"," 0.495"," 0.0804"," 0.3655"," 0.0188"," 0.08285000000000001"," 0.5085000000000001"," "
"Farruko"," 4"," 0.762"," 0.587"," 0.099325"," 0.07577500000000001"," 0.0"," 0.158"," 0.41025"," "
"Fattah Amin"," 1"," 0.531"," 0.593"," 0.0305"," 0.467"," 0.0"," 0.209"," 0.23"," "
"Felipe Peláez"," 1"," 0.797"," 0.777"," 0.0772"," 0.237"," 0.0"," 0.128"," 0.575"," "
"Felix Jaehn"," 1"," 0.755"," 0.719"," 0.0421"," 0.000875"," 1.53e-05"," 0.326"," 0.813"," "
"Fie Laursen"," 2"," 0.7875"," 0.7795"," 0.0785"," 0.33499999999999996"," 0.0"," 0.08940000000000001"," 0.475"," "
"Fiorella Mannoia"," 1"," 0.537"," 0.775"," 0.112"," 0.134"," 0.0"," 0.119"," 0.382"," "
"Floni"," 11"," 0.692090909090909"," 0.5685454545454545"," 0.06697272727272727"," 0.089514"," 0.05860935636363637"," 0.15957272727272728"," 0.37747272727272735"," "
"FM95BL�-"," 1"," 0.495"," 0.542"," 0.0351"," 0.263"," 0.0"," 0.103"," 0.313"," "
"FO&O"," 1"," 0.559"," 0.729"," 0.0315"," 0.0278"," 0.0"," 0.284"," 0.747"," "
"Fouli"," 1"," 0.667"," 0.802"," 0.32"," 0.159"," 0.0"," 0.291"," 0.734"," "
"France Gall"," 1"," 0.677"," 0.856"," 0.0506"," 0.498"," 2.64e-05"," 0.0659"," 0.949"," "
"Francesco Gabbani"," 1"," 0.668"," 0.834"," 0.0758"," 0.0428"," 3.23e-06"," 0.104"," 0.565"," "
"Frank Sinatra"," 1"," 0.603"," 0.321"," 0.0599"," 0.881"," 0.0"," 0.34"," 0.844"," "
"Freddy Kalas"," 1"," 0.726"," 0.589"," 0.0528"," 0.173"," 0.0"," 0.0742"," 0.577"," "
"French Montana"," 2"," 0.726"," 0.769"," 0.123"," 0.0293"," 0.0101"," 0.104"," 0.733"," "
